Date, Open, High, Low, Close, Volume
11/19/20,9.73,9.77,9.73,9.77,2761
11/20/20,9.72,9.77,9.72,9.73,7303
11/23/20,9.73,9.76,9.72,9.73,56606
11/24/20,9.72,9.77,9.72,9.77,1656
11/25/20,9.72,9.77,9.72,9.77,2174
11/27/20,9.78,9.81,9.78,9.81,11978
11/30/20,9.7999,9.8,9.7601,9.8,751
12/1/20,9.8,9.81,9.77,9.8,9446
12/2/20,9.81,9.83,9.805,9.81,107812
12/3/20,9.81,9.85,9.81,9.84,20416
12/4/20,9.82,9.83,9.82,9.83,3235
12/7/20,9.895,9.9,9.8,9.81,78399
12/8/20,9.81,9.95,9.81,9.85,21907
12/9/20,9.85,9.95,9.85,9.92,44389
12/10/20,9.92,9.95,9.88,9.91,15950
12/11/20,9.95,9.99,9.9,9.96,228208
12/14/20,9.983,9.99,9.9,9.99,21947
12/15/20,9.95,9.99,9.82,9.98,255683
12/16/20,9.98,10.02,9.9,10,177285
12/17/20,10,10,9.97,10,109137
12/18/20,10,10.01,9.98,10,234741
12/21/20,9.98,10.02,9.98,10,64658
12/22/20,10,10.02,10,10,126369
12/23/20,10,10.02,9.96,10.01,123534
12/24/20,10.01,10.02,10,10,114703
12/28/20,10.03,10.05,9.98,9.98,28738
12/29/20,9.98,9.99,9.82,9.98,110066
12/30/20,9.8,10,9.8,9.97,19884
12/31/20,10,10.08,9.9,10,160367
1/4/21,10.03,10.11,10.03,10.08,60800
1/5/21,10.08,10.08,10,10.06,42075
1/6/21,10.08,10.14,10.02,10.02,34121
1/7/21,10.03,10.13,9.92,10.07,233012
1/8/21,10.1,10.25,10.02,10.1,71157
1/11/21,11.95,12.35,11.41,12,8909287
1/12/21,11.74,11.8,11.51,11.6,3113942
1/13/21,11.635,11.79,11.51,11.65,3055501
1/14/21,11.95,11.95,11.75,11.9,2137389
1/15/21,11.9,11.9436,11.255,11.86,1453838
1/19/21,11.85,11.85,11.34,11.64,1151500
1/20/21,11.55,11.6,11.31,11.45,680372
1/21/21,11.37,11.4,11,11.13,976015
1/22/21,11.09,11.2,11.01,11.15,688075
1/25/21,11.44,11.52,11.3,11.42,1992953
1/26/21,12.81,13.35,12.31,13.23,5243233
1/27/21,13.75,14.99,12.53,13,4484763
1/28/21,15.99,17.5,14.5,15.43,15979500
1/29/21,20.31,20.65,17.07,18.45,14706360
2/1/21,20.17,20.75,19,19.16,6534870
2/2/21,19.05,19.15,17.51,17.78,4197243
2/3/21,17.589,18.5,16.15,16.2,4839199
2/4/21,16.66,17.84,16.41,16.63,2910873
2/5/21,17.155,18.75,16.92,17.26,3782905
2/8/21,17.68,18.5,17.4,17.49,2303505
2/9/21,17.5,17.62,16.6,16.89,2146425
2/10/21,16.72,17.5,16.21,16.38,2039105
2/11/21,16.44,16.54,15.6,15.79,1856171
2/12/21,15.56,16.0199,15.2,15.58,1206752
2/16/21,16.25,17.48,16.05,16.92,2387743
2/17/21,17.23,18.37,16.8,17.82,2510082
2/18/21,17.24,17.87,16.85,17.17,1218897
2/19/21,17.24,17.85,16.925,17.1,1235461
2/22/21,17.76,18.728,17.57,17.62,2366613
2/23/21,16.78,16.89,15.06,15.6,3021717
2/24/21,15.79,16.07,15.35,15.41,1377921
2/25/21,15.52,15.7,14.3,15,1937259
2/26/21,14.88,14.88,13.81,14.09,1830624
3/1/21,14.8,15.2999,14.5,14.9,1302186
3/2/21,15,15,14.05,14.17,874751
3/3/21,14.27,14.49,12.7,12.78,1705724
3/4/21,12.85,12.99,11.44,11.51,2785524
3/5/21,12.15,12.16,10.56,11.9,3075279
3/8/21,11.828,12.44,11.25,11.4,1063155
3/9/21,11.98,12.42,11.78,12.17,1212474
3/10/21,12.51,12.5431,11.7,12.1,1771896
3/11/21,12.25,13.85,12.1701,13.36,1473666
3/12/21,13.02,14,12.855,13.79,1237023
3/15/21,13.65,13.6799,12.9,13.33,913200
3/16/21,13.9,14.1,13.02,13.2,1031519
3/17/21,12.92,13.45,12.635,13.14,954204
3/18/21,13,13.2,12.75,12.83,613425
3/19/21,12.68,12.88,12.51,12.66,581167
3/22/21,12.6,12.65,12.06,12.27,775517
3/23/21,12.2,12.41,12.18,12.21,650818
3/24/21,12.29,12.43,11.92,11.98,1045020
3/25/21,11.58,11.86,11.44,11.61,979075
3/26/21,12.03,12.19,11.6,12.19,677722
3/29/21,12.089,12.49,11.9,12.01,399657
3/30/21,12,12.1606,11.71,11.89,361552
3/31/21,12.27,12.5,12.01,12.06,420617
4/1/21,12.36,12.79,12.23,12.4,454397
4/5/21,12.62,12.94,12.33,12.39,356694
4/6/21,13.6,14.14,13.27,13.63,3091550
4/7/21,13.7,14.52,13.7,14.03,1353539
4/8/21,14.03,15.14,14.03,14.86,1393438
4/9/21,15.36,15.4294,14.08,14.99,1300183
4/12/21,14.68,14.91,12.8,13.07,2409712
4/13/21,12.47,13.11,12.465,12.58,1188252
4/14/21,12.66,12.99,11.62,11.69,2074057
4/15/21,11.95,12.6,11.85,12.36,1209897
4/16/21,12.38,12.38,11.86,11.92,591693
4/19/21,12,12.1,11.29,11.55,703116
4/20/21,11.31,11.47,11.085,11.26,595439
4/21/21,11.26,11.81,11.13,11.77,555100
4/22/21,11.77,12.22,11.71,11.87,722357
4/23/21,11.9435,12.4,11.9435,12.27,409217
4/26/21,12.19,12.26,11.9,12.02,377089
4/27/21,12.09,12.15,11.76,11.82,244529
4/28/21,11.75,12.1,11.75,12.05,292448
4/29/21,12.26,12.26,11.69,11.74,267628
4/30/21,11.76,11.92,11.69,11.73,333227
5/3/21,11.75,11.78,11.52,11.64,313883
5/4/21,11.55,11.65,11.31,11.55,388076
5/5/21,11.6,11.85,11.55,11.83,155593
5/6/21,11.634,11.78,11.43,11.47,234743
5/7/21,11.42,11.55,10.91,11.25,687346
5/10/21,11.75,11.75,10.86,10.92,1034746
5/11/21,10.59,11.0099,10.42,10.95,1021091
5/12/21,11.09,11.15,10.62,10.93,498112
5/13/21,10.82,10.979,10.63,10.89,460657
5/14/21,10.84,11.3,10.795,11.07,434718
5/17/21,11.06,11.17,10.93,11.04,164849
5/18/21,11.03,11.26,10.96,11.04,326049
5/19/21,10.99,10.99,10.75,10.86,286279
5/20/21,10.9,11,10.85,10.88,339320
5/21/21,10.88,10.88,10.7443,10.83,294289
5/24/21,10.93,11.61,10.77,11.17,422556
5/25/21,11.2,11.8,11.15,11.79,929099
5/26/21,11.996,12.35,11.72,12,796723
5/27/21,13.2381,13.2465,12.31,12.52,1280073
5/28/21,12.57,12.8999,12.3571,12.64,392653
6/1/21,12.71,12.8,12.13,12.29,541362
6/2/21,12.58,13.04,12.275,12.7,488065
6/3/21,12.65,13.48,12.4,13.22,1016848
6/4/21,13.34,14.1,13.34,14.02,1048536
6/7/21,13.98,14.63,13.24,13.51,1520554
6/8/21,13.64,13.94,13.09,13.38,538681
6/9/21,13.75,13.8799,12.82,13.38,736073
6/10/21,13.38,13.75,12.95,13.64,478038
6/11/21,13.65,13.81,13.425,13.72,248833
6/14/21,13.6,14.13,13.11,13.24,455526
6/15/21,13.32,13.47,13.1,13.25,352246
6/16/21,13.1,13.1743,12.66,12.84,419034
6/17/21,12.64,12.77,12.45,12.57,511315
6/18/21,12.6,12.8389,12.46,12.55,336393
6/21/21,12.61,14.17,12.16,13.43,875134
6/22/21,14,14,13.52,13.75,449261
6/23/21,13.95,15.22,13.95,14.89,1065647
6/24/21,15.4,16.38,14.45,14.92,2170369
6/25/21,17.23,17.48,15.25,15.96,3359521
6/28/21,16.69,17.1,16.0201,16.54,1644550
6/29/21,16.2,16.29,15.53,15.87,1247471
6/30/21,15.74,15.95,15.45,15.58,844631
7/1/21,15.78,16.47,15.5,15.63,540283
7/2/21,15.75,15.9,14.81,14.86,647923
7/6/21,14.75,15.53,14.21,14.56,841087
7/7/21,15.1,15.15,14.565,14.81,410094
7/8/21,14.45,15.32,14.28,14.62,919837
