Date, Open, High, Low, Close, Volume
1/2/18,62.4,64.422,62.2,64.106,21761204.67
1/3/18,64.2,65.05,63.11,63.45,22607634.66
1/4/18,62.574,63.71,61.136,62.924,49731519.25
1/5/18,63.324,63.448,62.4,63.316,22955899.66
1/8/18,63.2,67.404,63.1,67.282,49297174.26
1/9/18,67.032,67.76,65.481,66.738,35733154.46
1/10/18,66.44,67.4,66,66.96,21549629.68
1/11/18,67.048,68.962,66.652,67.59,33227419.5
1/12/18,67.726,68.082,66.734,67.244,24125294.64
1/16/18,67.508,69,66.96,68.012,32371254.51
1/17/18,68.094,69.8,67.95,69.432,35517524.47
1/18/18,69.134,70.46,68.748,68.914,28429224.57
1/19/18,69,70.118,68.52,70.004,24441514.63
1/22/18,69.88,71.566,69.84,70.312,31051799.53
1/23/18,72,72.1,70.2,70.558,27327069.59
1/24/18,70.916,70.95,68.704,69.178,26437389.6
1/25/18,69.654,69.84,67.28,67.528,33701519.49
1/26/18,68.3,68.8,67.142,68.57,22696779.66
1/29/18,67.97,70.17,67.656,69.906,23735744.64
1/30/18,69.028,69.654,68.434,69.164,23588499.65
1/31/18,69.502,71.238,69.038,70.862,31070344.53
2/1/18,70.2,71.932,69.726,69.85,20988434.69
2/2/18,69.688,70.39,68.102,68.75,18524179.72
2/5/18,67.594,68.894,66.6,66.626,22320734.67
2/6/18,65.042,67.244,64.7,66.794,25442189.62
2/7/18,67.798,69.2,67.132,69,34846194.48
2/8/18,68.662,69.724,62.92,63.046,51572849.23
2/9/18,63.986,64.1969,58.952,62.084,64668599.03
2/12/18,63.226,63.616,61.25,63.146,31139109.53
2/13/18,63.004,64.838,62.5021,64.732,22801154.66
2/14/18,64.168,65.234,63.704,64.462,19753714.7
2/15/18,64.9,66.824,64.48,66.813,29564584.56
2/16/18,66.5,68.624,66.328,67.098,28213184.58
2/20/18,66.894,68.168,66.3,66.954,20047174.7
2/21/18,67.206,67.9386,66.634,66.66,16098244.76
2/22/18,67.106,69.488,66.95,69.234,34849039.48
2/23/18,69.566,70.998,69.42,70.41,29086934.56
2/26/18,70.7,71.8,70.471,71.484,21699924.67
2/27/18,71.25,71.998,70.002,70.198,23987094.64
2/28/18,70.514,71.048,68.444,68.612,30348289.54
3/1/18,69.002,69.734,66.014,66.186,34428004.48
3/2/18,65.396,67.044,64.594,67.024,25464144.62
3/5/18,66.478,67.55,65.8586,66.67,19118844.71
3/6/18,66.75,67.274,65.406,65.64,21428719.68
3/7/18,65.088,66.5,64.348,66.46,25036484.62
3/8/18,66.572,66.66,65.2548,65.82,17831219.73
3/9/18,64.82,65.698,64.474,65.434,27533819.59
3/12/18,65.722,69.442,65.3,69.102,41320174.38
3/13/18,68.984,69.024,67.2527,68.368,29829024.55
3/14/18,67.352,67.962,64.786,65.326,39836849.4
3/15/18,65.876,66.57,64.22,65.12,32824004.51
3/16/18,65.192,65.48,63.814,64.27,30586394.54
3/19/18,63.3,64.15,61.934,62.712,37421464.44
3/20/18,62.974,63.25,61.752,62.11,23821464.64
3/21/18,62.05,64.488,62.038,63.306,29792054.55
3/22/18,62.778,63.764,61.636,61.82,24698854.63
3/23/18,62.25,62.322,60.09,60.308,33274494.5
3/26/18,61.468,61.518,58.272,60.836,41875879.37
3/27/18,60.8,60.854,55.436,55.836,69360153.96
3/28/18,52.916,53.736,50.42,51.556,105007193.4
3/29/18,51.298,54.192,49.642,53.226,75853753.86
4/2/18,51.252,52.0664,48.918,50.496,80569848.79
4/3/18,53.964,54.67,50.898,53.506,94221903.59
4/4/18,50.556,57.674,50.4,57.388,99483748.51
4/5/18,57.868,61.252,57.64,61.144,95605498.57
4/6/18,60.2,61.856,59.1,59.86,67601448.99
4/9/18,60.074,61.9,57.842,57.932,51249049.23
4/10/18,59.794,61.42,58.736,60.94,55121299.17
4/11/18,60.148,61.796,59.932,60.186,37414724.44
4/12/18,60.464,60.79,58.736,58.816,38043844.43
4/13/18,60.72,60.79,59.196,60.068,36636119.45
4/16/18,59.8,59.932,57.802,58.242,31692439.52
4/17/18,57.774,58.434,56.502,57.538,35000114.47
4/18/18,58.216,60.048,57.632,58.67,32788499.51
4/19/18,58.216,60.202,57.71,60.016,30452994.54
4/20/18,59.034,59.996,57.95,58.048,28139639.58
4/23/18,58.258,58.324,56.466,56.674,24466889.63
4/24/18,57,57.418,55.692,56.692,28426539.57
4/25/18,56.7,57.032,55.45,56.138,20067869.7
4/26/18,55.75,57.158,55.3,57.096,21780064.67
4/27/18,57.074,58.894,56.766,58.815,21823129.67
4/30/18,58.722,59.746,58.5,58.78,21140859.68
5/1/18,58.702,60.164,58.644,59.984,23128014.65
5/2/18,59.714,61.37,59.5569,60.23,44851849.33
5/3/18,55.758,57.608,55.046,56.89,86760653.7
5/4/18,56.6,59.372,55.904,58.818,42846769.36
5/7/18,59.5,61.1918,59.034,60.554,43391119.35
5/8/18,60.159,61.55,59.8,60.394,29649999.56
5/9/18,60.082,61.402,60.01,61.37,28636824.57
5/10/18,61.4999,62.598,60.8224,61.004,28257804.58
5/11/18,61.54,61.776,59.816,60.212,23398244.65
5/14/18,60.664,60.988,58.324,58.394,36434019.45
5/15/18,57.002,57.392,56.1,56.836,47595539.29
5/16/18,56.766,57.762,56.312,57.296,28370094.57
5/17/18,57.18,57.8375,56.794,56.908,22103059.67
5/18/18,56.93,56.93,54.8,55.364,36259439.46
5/21/18,56.266,58.298,56.26,56.898,45912854.31
5/22/18,57.5524,57.6,54.6844,55.002,44728779.33
5/23/18,55.552,55.982,54.8,55.814,29925264.55
5/24/18,55.68,56.222,54.978,55.57,20883539.69
5/25/18,55.525,55.928,55.122,55.77,19375409.71
5/29/18,55.702,57.3,55.23,56.752,28333199.58
5/30/18,56.658,59.001,56.32,58.344,37448429.44
5/31/18,57.442,58.074,56.586,56.946,29598604.56
6/1/18,57.172,58.39,56.7678,58.364,27121929.59
6/4/18,58.868,59.8,58.7096,59.348,23989049.64
6/5/18,59.54,59.56,57.348,58.226,29975784.55
6/6/18,60.1,64.434,59.496,63.9,93836348.59
6/7/18,63.23,66,62.716,63.218,71726353.92
6/8/18,63.8,64.896,63.43,63.532,41026004.38
6/11/18,64.502,66.932,64.5,66.42,65917349.01
6/12/18,68.94,70.994,67.6,68.554,111736998.3
6/13/18,69.3412,69.44,67.96,68.956,47349019.29
6/14/18,69.526,71.75,69.32,71.544,54905099.18
6/15/18,70.768,72.934,70.25,71.634,54241249.19
6/18/18,71.08,74.746,70.9,74.166,60366149.09
6/19/18,73.032,74,69.25,70.51,63809499.04
6/20/18,71.608,72.876,70.4,72.444,41918279.37
